"season" "size" "speed" "mxPH" "mnO2" "Cl" "NO3" "NH4" "oPO4" "PO4" "Chla" "a1"
"winter" "large" "medium" 8.21 9.3 104.818 3.908 124.364 82.222 167.89999 5.609 1.4
"summer" "medium" "low" 7.5 8.8 58.331 8.688 758.75 104.5 292.625 3 8.7
"spring" "medium" "low" 7.6 6.3 81.333 9.715 196.66701 77.333 147.83299 3 4.4
"autumn" "small" "high" 7.8 11.35 5.343 1.363 19.75 5.818 8.846 1.9 24.86079
"winter" "small" "high" 8 9.8 16 0.73 20 26 45 0.8 17.1
"spring" "medium" "high" 9.1 9.4 35.75 5.164 32.5 85.5 215.5 18.37 2.2
"summer" "medium" "medium" 8.1 10.7 94.405 4.698 153 191.75 265.25 7.3 0
"spring" "medium" "medium" 8.7 9.4 173.75 3.318 101.25 267.75 391.75 3.5 0
"spring" "small" "medium" 8.1 13.2 19 0 130 6 40 2 10.98315
"autumn" "medium" "high" 7.9 10.5 10.207 2.304 132.25 10.583 23.485 2 42.5
"summer" "small" "high" 7.8 10.8 14.568 1.228 61.25 34.5 62 1.1 13.13004
"winter" "large" "low" 8.7 11.7 22.455 3.765 88.182 41.3 85.4 17.491 0
"spring" "small" "high" 8 NA 1.45 0.81 10 2.5 3 0.3 75.8
"summer" "large" "medium" 8.5 7.9 12.444 2.586 96.667 19.111 61.444 6.167 18.9
"summer" "medium" "high" 8.6 11.62 1.549 0.445 25.833 16.833 18.293 1.4 43.7
"winter" "medium" "medium" 7.9 11.2 49.9 9.773 505 67.5 143.75 5.45 2.1
"winter" "small" "high" 7.78 12 7 1.42 34.333 18.667 50 1.1 46.2
"winter" "medium" "medium" 7.6 6 53 3.734 914 137.60001 254.60001 4.3 0
"summer" "medium" "medium" 8.3 10 30.125 3.726 102.5 75.875 177.625 50.225 1.5
"spring" "medium" "high" 8.4 11.2 0.5 0.32 10 21.6 27.6 0.6 31.60379
"winter" "medium" "medium" 8.2 10.4 41 5.16 410 38 61 6 45.82408
"spring" "large" "medium" 8.3 10.6 14.32 3.2 125.333 35.333 75.904 4.667 18
"autumn" "medium" "high" 8.9 10.5 34.8 6 122.556 41.111 144.111 27.03 -5.43215
"summer" "medium" "high" 8.5 11.8 7.838 1.732 206.53799 8.692 16.662 2.1 24
"summer" "small" "high" 7.25 9.54 32.1775 0.642 85 14.6 19.45 0.46 56.35637
"autumn" "small" "medium" 8.5 7.8 71 11.02 500 121 89.167 7.1 -4.04518
"spring" "medium" "high" 8.06 2.2 39 2.085 773.125 90.75 163.25 26 21.9197
"spring" "medium" "medium" 8.2 6.8 129.375 3.316 271.25 100 233.5 13 1.6
"autumn" "small" "high" 7.6 10.5 3.05 1.002 13.333 1.667 10.833 4.5 28.4076
"winter" "medium" "high" 8.7 9.8 5.889 1.534 51.111 9.667 17.333 1 64.3
"spring" "large" "low" 9.1 4.3 82.857 0.86 137.27299 102.364 232.89999 54.367 0
"summer" "medium" "high" 8.12 10.2 7.613 0.699 33.56 28.034 49.658 2.2 18.34913
"winter" "small" "high" 7.9 11 6.167 1.172 18.333 7.75 11.8 0.5 81.9
"spring" "large" "medium" 8.04 9.3 130.263 3.776 131.008 97.5 152.966 6.15 23.41367
"winter" "medium" "high" 8.5 10.1 10.936 1.335 236 34.636 72.9 11.1 4.2
"winter" "small" "medium" 8.03 12.1 18 3.14 10 21 41 4.8 -12.35375
